song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
63,221626,0.388,0.517,0.598,2.22E-06,6,0.183,-3.751,0.263,96.933,0.922
75,219493,0.254,0.583,0.584,0,5,0.123,-5.362,0.0314,140.039,0.136
67,191666,0.00127,0.806,0.902,0,11,0.212,-3.387,0.0475,128.943,0.961
73,175093,0.00666,0.494,0.939,0,1,0.139,-3.127,0.126,177.751,0.893
63,217760,0.00791,0.423,0.862,0,0,0.133,-5.13,0.0695,154.746,0.462
68,234000,0.126,0.871,0.597,0.000115,5,0.0638,-4.932,0.0464,125.999,0.635
73,234173,0.512,0.584,0.7,2.43E-05,6,0.13,-4.251,0.0506,163.953,0.549
64,204853,0.017,0.423,0.922,0,3,0.102,-2.602,0.0411,156.063,0.567
67,206520,0.00166,0.423,0.94,0,1,0.178,-4.012,0.0635,149.934,0.505
78,249626,0.0206,0.647,0.729,0.0489,5,0.134,-6.251,0.0236,94.01,0.687
48,222000,0.327,0.521,0.431,0,0,0.0986,-9.74,0.0293,106.546,0.181
68,251160,0.324,0.65,0.879,0,8,0.376,-3.176,0.0328,105.015,0.899
24,275253,0.439,0.82,0.717,0.00107,8,0.236,-6.191,0.0722,104.005,0.843
67,207466,0.211,0.756,0.8,0.000723,5,0.047,-5.158,0.0329,118.921,0.967
29,216706,0.0838,0.751,0.731,0,6,0.0556,-4.419,0.0308,97.007,0.973
66,215493,0.0893,0.719,0.809,0,1,0.183,-10.201,0.0511,100.839,0.964
63,267000,0.254,0.811,0.88,0.00146,8,0.0475,-2.972,0.0628,124.12,0.915
71,243413,0.0426,0.723,0.777,3.68E-06,7,0.0451,-3.503,0.108,91.017,0.961
71,198786,0.078,0.699,0.917,0,0,0.065,-4.897,0.115,130.04,0.889
59,252933,0.141,0.782,0.874,0.0584,2,0.112,-7.157,0.0474,123.179,0.859
66,232880,0.622,0.585,0.977,0,1,0.328,-3.57,0.0615,138.264,0.801
58,199316,0.833,0.744,0.601,0.0242,10,0.131,-5.241,0.0349,143.542,0.905
11,277600,0.0306,0.566,0.911,0.0247,4,0.0574,-9.458,0.0791,193.538,0.638
61,164120,0.455,0.548,0.688,0,7,0.072,-6.053,0.0372,179.842,0.813
84,218093,0.284,0.778,0.824,0,10,0.405,-5.892,0.0712,100.024,0.756
77,189440,0.0179,0.774,0.687,1.17E-05,11,0.128,-4.818,0.0584,104.959,0.308
74,254720,0.419,0.803,0.56,0,1,0.0608,-6.912,0.0398,133.679,0.77
70,239400,0.135,0.82,0.937,0.000128,5,0.35,-4.81,0.0551,130.993,0.906
56,272546,0.743,0.696,0.728,0.0537,7,0.0835,-6.937,0.034,124.092,0.963
80,228200,0.208,0.659,0.802,0,2,0.123,-4.79,0.148,177.936,0.863
54,203173,0.414,0.671,0.884,0.00015,6,0.0701,-9.267,0.0586,119.574,0.933
60,443480,0.779,0.582,0.61,6.54E-06,11,0.267,-6.641,0.103,93.658,0.826
77,192600,0.332,0.857,0.801,1.20E-06,0,0.0789,-6.499,0.0618,96.009,0.753
52,162213,0.337,0.816,0.416,0.791,5,0.0452,-17.795,0.244,90.148,0.817
51,212893,0.00487,0.542,0.714,0.298,2,0.334,-8.045,0.028,124.26,0.76
62,249506,0.422,0.927,0.721,4.36E-05,8,0.0422,-12.561,0.0908,103.018,0.965
57,172733,0.0699,0.348,0.751,0.000738,0,0.208,-12.823,0.0494,156.509,0.886
4,319560,0.318,0.522,0.526,0,2,0.116,-6.361,0.0259,90.02,0.43
56,262160,0.0485,0.779,0.631,0.00316,2,0.0349,-5.314,0.115,97.927,0.663
65,212000,0.0854,0.748,0.835,1.97E-06,7,0.0365,-5.731,0.0351,142.942,0.896
74,343413,0.199,0.648,0.846,4.23E-06,0,0.0803,-6.731,0.0424,160.075,0.815
7,238680,0.0151,0.815,0.757,5.26E-05,2,0.187,-5.351,0.165,127.052,0.811
73,243160,0.00411,0.425,0.954,0,1,0.0555,-3.756,0.0476,178.043,0.933
43,378373,0.112,0.559,0.73,0.00267,10,0.263,-8.461,0.0639,106.806,0.778
58,351400,0.652,0.555,0.331,1.16E-05,9,0.235,-17.718,0.27,170.603,0.437
59,408440,0.445,0.301,0.335,0.00181,0,0.751,-8.564,0.0303,176.591,0.386
7,181960,0.701,0.707,0.408,0,5,0.105,-12.776,0.0366,126.399,0.843
52,159466,0.491,0.66,0.504,2.65E-05,0,0.15,-13.087,0.0496,88.953,0.914
58,622520,0.422,0.489,0.679,6.92E-06,7,0.13,-4.899,0.0326,95.813,0.658
7,257213,0.83,0.507,0.423,0.00916,2,0.0973,-14.187,0.0332,82.809,0.701
41,208866,0.259,0.613,0.489,0,11,0.0696,-13.509,0.0503,145.278,0.898
50,325506,0.888,0.66,0.124,0.000764,5,0.111,-19.2,0.0496,129.919,0.362
63,263306,0.0102,0.543,0.903,0.00585,11,0.0862,-6.658,0.039,162.241,0.962
68,301426,0.59,0.691,0.805,0,2,0.0975,-6.81,0.0947,142.503,0.866
50,183546,0.565,0.576,0.698,0,0,0.386,-5.181,0.0321,98.855,0.708
60,205226,0.599,0.545,0.59,0,9,0.0916,-7.257,0.0813,100.835,0.583
52,278040,0.811,0.649,0.144,2.42E-06,0,0.089,-16.809,0.0522,119.193,0.264
42,193800,0.908,0.57,0.301,0.574,7,0.123,-13.846,0.0518,118.337,0.431
50,195533,0.853,0.39,0.263,0,2,0.219,-6.851,0.0394,80.332,0.446
40,128386,0.386,0.337,0.55,0,9,0.298,-5.814,0.0502,183.117,0.851
57,182226,0.548,0.514,0.83,0,2,0.321,-8.666,0.0391,148.806,0.964
78,240800,0.00255,0.438,0.805,5.69E-05,8,0.0842,-6.237,0.0624,113.253,0.564
69,198706,0.328,0.397,0.785,0.00495,2,0.0621,-9.168,0.0545,96.333,0.646
48,222746,0.00038,0.735,0.82,0.0572,2,0.0983,-8.554,0.0494,135.586,0.859
63,133200,0.029,0.597,0.554,0,11,0.0766,-14.144,0.0425,117.835,0.963
77,333893,0.0484,0.412,0.902,0.131,9,0.405,-11.6,0.405,89.74,0.422
77,425653,0.0112,0.386,0.607,1.38E-05,10,0.088,-7.7,0.0261,147.207,0.532
71,303200,0.23,0.547,0.58,0.00877,2,0.0569,-13.415,0.0293,109.827,0.505
71,134253,0.493,0.573,0.939,0,8,0.0994,-6.441,0.0808,137.382,0.963
70,149373,0.661,0.55,0.854,0,3,0.112,-5.968,0.036,159.231,0.965
71,178933,0.715,0.619,0.603,0,9,0.0721,-9.481,0.0342,127.432,0.958
61,163466,0.00102,0.51,0.893,5.85E-05,9,0.201,-9.267,0.0342,142.657,0.934
75,153693,0.406,0.653,0.519,0.0209,2,0.101,-10.164,0.0497,98.883,0.822
81,140773,0.201,0.64,0.663,0.00806,0,0.152,-7.516,0.0374,132.77,0.663
67,212893,0.273,0.439,0.737,0.28,2,0.228,-12.054,0.115,145.942,0.533
70,271280,0.000385,0.295,0.584,0.218,9,0.0996,-6.696,0.0345,117.2,0.228
68,165381,0.102,0.623,0.709,0,1,0.0967,-9.818,0.0636,122.394,0.948
61,193493,0.255,0.735,0.52,0,11,0.106,-6.18,0.0371,118.441,0.688
56,208666,0.255,0.412,0.59,0.0325,11,0.177,-12.277,0.0701,85.824,0.653
59,238266,0.22,0.704,0.528,0.35,5,0.14,-13.382,0.0358,117.472,0.73
71,170813,0.00876,0.533,0.905,0.578,2,0.0698,-5.27,0.0754,108.9,0.486
73,162373,0.352,0.552,0.616,0,1,0.0501,-9.785,0.0346,112.442,0.667
72,369600,0.729,0.483,0.721,0,0,0.189,-6.836,0.032,95.261,0.562
64,444053,0.469,0.451,0.364,0,9,0.197,-13.126,0.0436,154.206,0.298
65,229360,0.135,0.452,0.818,2.72E-05,2,0.052,-8.124,0.0439,124.474,0.755
68,173946,0.27,0.491,0.801,0,4,0.0665,-9.835,0.0361,160.109,0.971
71,429760,0.369,0.413,0.725,2.16E-05,3,0.0905,-5.787,0.0324,124.618,0.44
69,180943,0.0192,0.537,0.716,0,2,0.245,-8.766,0.038,122.873,0.452
54,184880,0.165,0.436,0.375,0,6,0.294,-13.856,0.0284,107.386,0.49
66,176333,0.767,0.816,0.514,0.949,10,0.0899,-8.741,0.0339,136.837,0.912
58,201800,0.505,0.556,0.161,4.36E-05,11,0.28,-13.944,0.0297,126.534,0.588
52,150906,0.00206,0.252,0.507,0.00057,2,0.325,-13.337,0.0442,196.494,0.816
60,153760,0.202,0.533,0.638,0,4,0.0729,-7.13,0.0341,156.663,0.937
72,250000,0.475,0.684,0.481,6.57E-05,2,0.118,-12.59,0.0384,115.078,0.784
13,120173,0.714,0.599,0.704,0,8,0.521,-8.566,0.243,173.043,0.95
30,187213,0.13,0.699,0.641,0.000218,2,0.0601,-7.564,0.0289,120.745,0.728
63,386373,0.044,0.271,0.553,0.0096,2,0.0999,-9.526,0.0472,86.762,0.433
37,226906,0.462,0.456,0.514,0.00037,7,0.268,-9.733,0.053,138.377,0.657
74,145746,0.386,0.49,0.715,0,7,0.311,-5.549,0.0476,130.726,0.866
64,171600,0.451,0.364,0.607,0,2,0.251,-9.791,0.125,79.987,0.598
38,142480,0.498,0.551,0.954,0,7,0.0884,-2.844,0.0814,136.862,0.685
51,214880,0.792,0.36,0.757,0.0125,3,0.147,-6.832,0.0405,83.865,0.341
63,160306,0.0592,0.423,0.681,0.000177,10,0.0889,-9.756,0.0397,110.461,0.559
21,219466,0.047,0.6,0.897,0.727,3,0.0672,-7.275,0.0477,137.375,0.676
62,198773,0.0751,0.507,0.847,0.237,1,0.372,-5.987,0.0411,98.096,0.566
69,174840,0.408,0.504,0.578,0,4,0.321,-9.302,0.031,132.411,0.654
53,290933,0.0252,0.528,0.514,0.0894,2,0.0725,-11.909,0.133,122.872,0.44
63,147893,0.229,0.494,0.666,5.69E-05,9,0.0469,-9.743,0.0351,140.832,0.699
66,125826,0.218,0.552,0.742,0,0,0.339,-7.963,0.0454,138.591,0.751
67,204480,0.0103,0.505,0.836,0.0771,5,0.295,-7.384,0.101,159.669,0.764
70,219026,0.326,0.396,0.473,0.000124,10,0.109,-7.67,0.0345,133.449,0.385
55,185523,0.000242,0.346,0.75,0.0119,11,0.271,-6.619,0.103,165.036,0.667
74,125666,0.879,0.332,0.179,0,5,0.0886,-11.83,0.0326,96.529,0.315
